Ep: 4, steps: 2, D loss: 0.274199, acc:  52%, G loss: 3.393060
Ep: 4, steps: 3, D loss: 0.188736, acc:  77%, G loss: 4.474459
Ep: 4, steps: 4, D loss: 0.367867, acc:  25%, G loss: 4.200366
Ep: 4, steps: 5, D loss: 0.253166, acc:  59%, G loss: 4.429602
Ep: 4, steps: 6, D loss: 0.326243, acc:  31%, G loss: 4.120253
Ep: 4, steps: 7, D loss: 0.292391, acc:  42%, G loss: 3.833238
Ep: 4, steps: 8, D loss: 0.249590, acc:  58%, G loss: 3.385929
Ep: 4, steps: 9, D loss: 0.275694, acc:  52%, G loss: 3.751139
Ep: 4, steps: 10, D loss: 0.318650, acc:  33%, G loss: 4.151857
Ep: 4, steps: 11, D loss: 0.254523, acc:  60%, G loss: 4.080546
Ep: 4, steps: 12, D loss: 0.326134, acc:  32%, G loss: 4.198437
Ep: 4, steps: 13, D loss: 0.284371, acc:  47%, G loss: 3.912926
Ep: 4, steps: 14, D loss: 0.283918, acc:  50%, G loss: 3.230440
Ep: 4, steps: 15, D loss: 0.289279, acc:  47%, G loss: 3.273441
Ep: 4, steps: 16, D loss: 0.262692, acc:  53%, G loss: 3.123096
Ep: 4, steps: 17, D loss: 0.214800, acc:  66%, G loss: 3.850224
Ep: 4, steps: 18, D loss: 0.268735, acc:  54%, G loss: 3.138919
Ep: 4, steps: 19, D loss: 0.291601, acc:  46%, G loss: 3.980002
Ep: 5, steps: 1, D loss: 0.251975, acc:  55%, G loss: 3.266985
Ep: 5, steps: 2, D loss: 0.274937, acc:  50%, G loss: 3.186881
Ep: 5, steps: 3, D loss: 0.197583, acc:  76%, G loss: 4.098547
Ep: 5, steps: 4, D loss: 0.343741, acc:  28%, G loss: 3.780705
Ep: 5, steps: 5, D loss: 0.257590, acc:  58%, G loss: 3.893011
Ep: 5, steps: 6, D loss: 0.316631, acc:  31%, G loss: 3.791187
Ep: 5, steps: 7, D loss: 0.290278, acc:  40%, G loss: 3.607549
Ep: 5, steps: 8, D loss: 0.245171, acc:  58%, G loss: 3.335542
Ep: 5, steps: 9, D loss: 0.268652, acc:  46%, G loss: 2.950314
Ep: 5, steps: 10, D loss: 0.267726, acc:  53%, G loss: 4.507039
Ep: 5, steps: 11, D loss: 0.380114, acc:  29%, G loss: 5.560961
Ep: 5, steps: 12, D loss: 0.236999, acc:  65%, G loss: 4.233878
Ep: 5, steps: 13, D loss: 0.387940, acc:  25%, G loss: 4.557363
Ep: 5, steps: 14, D loss: 0.276402, acc:  49%, G loss: 3.890095
Ep: 5, steps: 15, D loss: 0.274910, acc:  52%, G loss: 3.816657
Ep: 5, steps: 16, D loss: 0.303675, acc:  45%, G loss: 3.267176
Ep: 5, steps: 17, D loss: 0.262663, acc:  51%, G loss: 2.900861
Ep: 5, steps: 18, D loss: 0.236011, acc:  60%, G loss: 3.622255
Ep: 5, steps: 19, D loss: 0.262007, acc:  56%, G loss: 3.093793
Ep: 5, steps: 20, D loss: 0.282709, acc:  47%, G loss: 3.727791
Ep: 6, steps: 1, D loss: 0.250018, acc:  57%, G loss: 3.061580
Ep: 6, steps: 2, D loss: 0.269936, acc:  53%, G loss: 3.045705
Ep: 6, steps: 3, D loss: 0.205446, acc:  74%, G loss: 3.942096
Ep: 6, steps: 4, D loss: 0.329322, acc:  30%, G loss: 3.693932
Ep: 6, steps: 5, D loss: 0.255264, acc:  58%, G loss: 3.950312
Ep: 6, steps: 6, D loss: 0.312171, acc:  32%, G loss: 3.790251
Ep: 6, steps: 7, D loss: 0.284747, acc:  41%, G loss: 3.624786
Ep: 6, steps: 8, D loss: 0.248969, acc:  57%, G loss: 3.508681
Ep: 6, steps: 9, D loss: 0.261483, acc:  49%, G loss: 3.392493
Ep: 6, steps: 10, D loss: 0.266839, acc:  53%, G loss: 3.912528
Ep: 6, steps: 11, D loss: 0.334921, acc:  29%, G loss: 4.371390
Ep: 6, steps: 12, D loss: 0.229658, acc:  66%, G loss: 4.198071
Ep: 6, steps: 13, D loss: 0.321204, acc:  27%, G loss: 3.944511
Ep: 6, steps: 14, D loss: 0.271562, acc:  51%, G loss: 3.218196
Ep: 6, steps: 15, D loss: 0.300376, acc:  45%, G loss: 2.724392
Ep: 6, steps: 16, D loss: 0.253169, acc:  59%, G loss: 2.777451
Ep: 6, steps: 17, D loss: 0.258812, acc:  53%, G loss: 2.620943
Ep: 6, steps: 18, D loss: 0.210836, acc:  67%, G loss: 3.275099
Ep: 6, steps: 19, D loss: 0.265255, acc:  54%, G loss: 2.850318
Ep: 6, steps: 20, D loss: 0.287884, acc:  44%, G loss: 3.567725
Ep: 7, steps: 1, D loss: 0.241959, acc:  58%, G loss: 3.105751
Ep: 7, steps: 2, D loss: 0.272790, acc:  49%, G loss: 3.139894
Ep: 7, steps: 3, D loss: 0.194819, acc:  78%, G loss: 3.703439
Ep: 7, steps: 4, D loss: 0.330932, acc:  30%, G loss: 3.415754
Ep: 7, steps: 5, D loss: 0.250213, acc:  62%, G loss: 4.080610
Ep: 7, steps: 6, D loss: 0.319317, acc:  28%, G loss: 3.608270
Ep: 7, steps: 7, D loss: 0.285898, acc:  40%, G loss: 3.615876
Ep: 7, steps: 8, D loss: 0.245987, acc:  59%, G loss: 3.466553
Ep: 7, steps: 9, D loss: 0.252463, acc:  51%, G loss: 3.094008
Ep: 7, steps: 10, D loss: 0.264424, acc:  54%, G loss: 3.697084
Ep: 7, steps: 11, D loss: 0.333052, acc:  29%, G loss: 3.933918
Ep: 7, steps: 12, D loss: 0.230733, acc:  65%, G loss: 3.796774
Ep: 7, steps: 13, D loss: 0.275478, acc:  44%, G loss: 3.374431
Ep: 7, steps: 14, D loss: 0.318187, acc:  42%, G loss: 2.789953
Ep: 7, steps: 15, D loss: 0.230044, acc:  65%, G loss: 2.730347
Ep: 7, steps: 16, D loss: 0.260756, acc:  52%, G loss: 2.648885
Ep: 7, steps: 17, D loss: 0.203270, acc:  67%, G loss: 3.154320
Ep: 7, steps: 18, D loss: 0.266425, acc:  52%, G loss: 2.802210
Ep: 7, steps: 19, D loss: 0.295784, acc:  39%, G loss: 3.503278
Ep: 8, steps: 1, D loss: 0.241779, acc:  57%, G loss: 3.259047
Ep: 8, steps: 2, D loss: 0.269758, acc:  51%, G loss: 3.012283
Ep: 8, steps: 3, D loss: 0.203258, acc:  77%, G loss: 3.705748
Ep: 8, steps: 4, D loss: 0.317605, acc:  33%, G loss: 3.485543
Ep: 8, steps: 5, D loss: 0.247707, acc:  63%, G loss: 3.645078
Ep: 8, steps: 6, D loss: 0.316225, acc:  28%, G loss: 3.532516
Ep: 8, steps: 7, D loss: 0.281929, acc:  40%, G loss: 3.212416
Ep: 8, steps: 8, D loss: 0.241136, acc:  61%, G loss: 3.424147
Ep: 8, steps: 9, D loss: 0.250406, acc:  52%, G loss: 3.022200
Ep: 8, steps: 10, D loss: 0.261149, acc:  55%, G loss: 3.740893
Ep: 8, steps: 11, D loss: 0.331553, acc:  29%, G loss: 3.794073
Ep: 8, steps: 12, D loss: 0.230285, acc:  65%, G loss: 3.669401
Ep: 8, steps: 13, D loss: 0.314093, acc:  28%, G loss: 3.299300
Ep: 8, steps: 14, D loss: 0.262180, acc:  52%, G loss: 2.883696
Ep: 8, steps: 15, D loss: 0.291156, acc:  48%, G loss: 2.585418
Ep: 8, steps: 16, D loss: 0.255185, acc:  58%, G loss: 2.573832
Ep: 8, steps: 17, D loss: 0.258019, acc:  55%, G loss: 2.529849
Ep: 8, steps: 18, D loss: 0.204922, acc:  70%, G loss: 3.011641
Ep: 8, steps: 19, D loss: 0.255950, acc:  56%, G loss: 2.570931
Ep: 8, steps: 20, D loss: 0.285250, acc:  42%, G loss: 3.280408
Ep: 9, steps: 1, D loss: 0.230992, acc:  60%, G loss: 2.847424
Ep: 9, steps: 2, D loss: 0.265559, acc:  52%, G loss: 2.955183
Ep: 9, steps: 3, D loss: 0.186262, acc:  79%, G loss: 3.394706
Ep: 9, steps: 4, D loss: 0.320209, acc:  31%, G loss: 3.146619
Ep: 9, steps: 5, D loss: 0.240745, acc:  64%, G loss: 3.590699
Ep: 9, steps: 6, D loss: 0.317763, acc:  27%, G loss: 3.451671
Ep: 9, steps: 7, D loss: 0.273132, acc:  41%, G loss: 3.373991
Ep: 9, steps: 8, D loss: 0.243697, acc:  61%, G loss: 3.478626
Ep: 9, steps: 9, D loss: 0.259750, acc:  47%, G loss: 3.062769
Ep: 9, steps: 10, D loss: 0.262392, acc:  54%, G loss: 3.778951
Ep: 9, steps: 11, D loss: 0.317063, acc:  32%, G loss: 3.850990
Ep: 9, steps: 12, D loss: 0.225942, acc:  64%, G loss: 3.644141
Ep: 9, steps: 13, D loss: 0.309595, acc:  28%, G loss: 3.178801
Ep: 9, steps: 14, D loss: 0.258437, acc:  51%, G loss: 2.772120
Ep: 9, steps: 15, D loss: 0.291829, acc:  48%, G loss: 2.712770
Ep: 9, steps: 16, D loss: 0.246954, acc:  58%, G loss: 2.574021
Ep: 9, steps: 17, D loss: 0.255278, acc:  55%, G loss: 2.478710
Ep: 9, steps: 18, D loss: 0.187936, acc:  77%, G loss: 3.015041
Ep: 9, steps: 19, D loss: 0.242697, acc:  61%, G loss: 2.600930
Ep: 9, steps: 20, D loss: 0.279113, acc:  45%, G loss: 3.245343
